Pokemon,No.,Caught?,Ruby,Sapphire,Leafgreen,Firered,Emerald,Colosseum,XD: Gale of Darkness
Bulbasaur,1,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Starter Pokémon Obtained in Pallet Town,Starter Pokémon Obtained in Pallet Town,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Ivysaur,2,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Bulbasaur,Evolve Bulbasaur,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Venusaur,3,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Ivysaur,Evolve Ivysaur,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Charmander,4,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Starter Pokémon Obtained in Pallet Town,Starter Pokémon Obtained in Pallet Town,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Charmeleon,5,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Charmander,Evolve Charmander,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Charizard,6,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Charmeleon,Evolve Charmeleon,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Squirtle,7,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Starter Pokémon Obtained in Pallet Town,Starter Pokémon Obtained in Pallet Town,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Wartortle,8,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Squirtle,Evolve Squirtle,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Blastoise,9,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Evolve Wartortle,Evolve Wartortle,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Caterpie,10,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Metapod,11,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Butterfree,12,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Metapod,Evolve Metapod,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Targ in Cipher Key Lair
Weedle,13,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Kakuna,14,FALSE,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,"Viridian Forest, Route 25, Pattern Bush","Viridian Forest, Route 25, Pattern Bush",Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen,Trade from FireRed/LeafGreen
Beedrill,15,FALSE,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Evolve Kakuna,Evolve Kakuna,Trade from FireRed/LeafGreen/XD,Trade from FireRed/LeafGreen/XD,Snagged from Cipher Peon Lok in Cipher Key Lair
